Sheet [Danh mục] Row 2:  |                 CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ GIÁO DỤC MIỀN BẮC |  |  |  |  |  |  | 
Sheet [Danh mục] Row 3:  |                         ĐC: Số 24 - 25 liền kề 11, khu đô thị mới Văn Khê, P. La Khê, Q. Hà Đông, TP Hà Nội |  |  |  |  |  |  | 
Sheet [Danh mục] Row 4:  |  Điện thoại : 024.38562011 -  Fax : 024.38562493 |  |  |  |  |  |  | 
Sheet [Danh mục] Row 5:  | Hotline: Mr Đinh Trọng Tâm - TP kinh doanh: 0913 345 231  |  |  |  |  |  |  | 
Sheet [Danh mục] Row 6:  |  Email: kd.stbmb@gmail.com     Website: stbmienbac.vn   |  |  |  |  |  |  | 
Sheet [Danh mục] Row 9: DANH MỤC SÁCH THEO CHƯƠNG TRÌNH GDPT 2018
PHỤC VỤ NĂM HỌC 2023 - 2024 |  |  |  |  |  |  |  | 
Sheet [Danh mục] Row 11: STT | TT | Mã SP | TÊN SÁCH | TÁC GIẢ | QUY CÁCH |  |   GIÁ BÌA 
Sheet [Danh mục] Row 96:  | 3 | G3BH1V002 | Vở bài tập Tiếng Việt 1,  tập một (Cùng học để phát triển năng lực) | Nguyễn Thị Hạnh (Chủ biên), Nguyễn Thị Hương Giang, Nguyễn Lê Hằng, Đặng Thị Lanh, Trần Thị Hiền Lương, Trịnh Cam Ly |  | 17 x 24 | 16,000 | 
Sheet [Danh mục] Row 97:  | 4 | G3BH1V003 | Vở bài tập Tiếng Việt 1,  tập hai (Cùng học để phát triển năng lực) | Nguyễn Thị Hạnh (Chủ biên), Nguyễn Thị Hương Giang, Nguyễn Lê Hằng, Đặng Thị Lanh, Trần Thị Hiền Lương, Trịnh Cam Ly |  | 17 x 24 | 14,000 | 
Sheet [Danh mục] Row 98:  | 5 | G3BH1X001 | Vở bài tập Tự nhiên và Xã hội 1 (Cùng học để phát triển năng lực) | Nguyễn Hữu Đĩnh (Tổng chủ biên), Phan Thanh Hà (Chủ biên), Nguyễn Thị Thu Hằng, Nguyễn Hồng Liên |  | 17 x 24 | 11,000 | 
Sheet [Danh mục] Row 99:  | 6 | G3BH1G001 | Vở bài tập Đạo đức 1 (Cùng học để phát triển năng lực) | Nguyễn Thị Mỹ Lộc (Tổng chủ biên), Huỳnh Văn Sơn (Chủ biên) Nguyễn Thị Mỹ Hạnh, Mai Mỹ Hạnh, Nguyễn Thanh Huân, Nguyễn Thị Diễm My, Nguyễn Thị Xuân Phương |  | 17 x 24 | 9,000 | 
Sheet [Danh mục] Row 100:  | 7 | G3BH1M001 | Vở bài tập Mĩ thuật 1 (Cùng học để phát triển năng lực) | Đoàn Thị Mĩ Hương (Tổng chủ biên), Trịnh Đức Minh, Bạch Ngọc Diệp (Đồng Chủ biên), Nguyễn Gia Bảy, Nguyễn Quỳnh Nga, Trẩn Thị Thu Trang |  | 26,5 x 19 | 15,000 | 
Sheet [Danh mục] Row 101:  | 8 | G3BH1V001 | Tập viết 1,  tập một (Cùng học để phát triển năng lực) | Nguyễn Thị Hạnh (Chủ biên), Đặng Thị Lanh |  | 17 x 24 | 7,000 | 
Sheet [Danh mục] Row 102:  | 9 | G3BH1V004 | Tập viết 1,  tập hai (Cùng học để phát triển năng lực) | Nguyễn Thị Hạnh (Chủ biên), Đặng Thị Lanh, Trần Thị Hiền Lương |  | 17 x 24 | 6,000 | 
Sheet [Danh mục] Row 103:  | III | Sách giáo viên |  |  |  |  |  | 
Sheet [Danh mục] Row 104:  | 1 | G3HG1T001 | Toán 1, Sách giáo viên (Cùng học để phát triển năng lực) | Đinh Thế Lục (Tổng chủ biên), Phan Doãn Thoại (Chủ biên), Nguyễn Phương Anh.  |  | 19 x 26,5 | 73,000 | 
Sheet [Danh mục] Row 105:  | 2 | G3HG1V001 | Tiếng Việt 1, Sách giáo viên (Cùng học để phát triển năng lực) | Nguyễn Thị Hạnh (Chủ biên), Nguyễn Thị Hương Giang, Nguyễn Lệ Hằng, Đặng Thị Lanh, Trần Thị Hiền Lương, Trịnh Cam Ly. |  | 19 x 26,5 | 117,000 | 
Sheet [Danh mục] Row 106:  | 3 | G3HG1X001 | Tự nhiên và xã hội 1, Sách giáo viên (Cùng học để phát triển năng lực) | Nguyễn Hữu Đĩnh (Tổng chủ biên), Phan Thanh Hà (Chủ biên), Nguyễn Thị Thu Hằng, Nguyễn Hồng Liên. |  | 19 x 26,5 | 49,000 | 
Sheet [Danh mục] Row 107:  | 4 | G3HG1E001 | Giáo dục thể chất 1, Sách giáo viên (Cùng học để phát triển năng lực) | Hồ Đắc Sơn (Tổng chủ biên kiêm chủ biên), Nguyễn Thị Hà, Nguyễn Thành Trung, Nguyễn Duy Tuyến |  | 20,5 x 58,5 | 46,000 | 
Sheet [Danh mục] Row 108:  | 5 | G3HG1G001 | Đạo đức 1, Sách giáo viên (Cùng học để phát triển năng lực) | Nguyễn Thị Mỹ Lộc (Tổng chủ biên), Huỳnh Văn Sơn (Chủ biên) Nguyễn Thị Mỹ Hạnh, Mai Mỹ Hạnh, Nguyễn Thanh Huân, Nguyễn Thị Diễm My, Nguyễn Thị Xuân Phương. |  | 19 x 26,5 | 27,000 | 
Sheet [Danh mục] Row 109:  | 6 | G3HG1M001 | Mĩ thuật 1, Sách giáo viên (Cùng học để phát triển năng lực) | Đoàn Thị Mỹ Hương (Tổng chủ biên), Trịnh Đức Minh, Bạch Ngọc Diệp (Đồng Chủ biên), Nguyễn Gia Bảy, Nguyễn Quỳnh Nga, Trần Thị Thu Trang |  | 19 x 26,5 | 29,000 | 
Sheet [Danh mục] Row 110:  | 7 | G3HG1Q001 | Hoạt động trải nghiệm 1, Sách giáo viên (Cùng học để phát triển năng lực) | Lưu Thu Thủy (Tổng chủ biên), Nguyễn Thụy Anh (Chủ biên), Bùi Thị Hương Liên, Lê Thị Thắm. |  | 19 x 26,5 | 65,000 | 
Sheet [Danh mục] Row 111:  | 8 | G3HG1R001 | Âm nhạc 1, Sách giáo viên (Cùng học để phát triển năng lực) | Hoàng Long (Tổng chủ biên kiêm chủ biên), Nguyễn Thị Thanh Bình, Trần Văn Minh, Nguyễn Thị Nga. |  | 19 x 26,5 | 27,000 | 
Sheet [Danh mục] Row 112:  |  | Bộ " Vì sự bình đẳng và dân chủ trong giáo dục" |  |  |  |  |  | 
Sheet [Danh mục] Row 113:  | I | Sách giáo khoa |  |  |  |  |  | 
Sheet [Danh mục] Row 114:  | 1 | G4HH1T001 | Toán 1, Tập 1 (Vì sự bình đẳng và dân chủ trong giáo dục) | Trần Diên Hiển (Chủ biên), Nguyễn Đình Khuê, Nguyễn Thúy Vân, Đào Thái Lai |  | 19 x 26,5 | 22,000 | 
Sheet [Danh mục] Row 115:  | 2 | G4HH1T002 | Toán 1, Tập 2 (Vì sự bình đẳng và dân chủ trong giáo dục) | Trần Diên Hiển (Chủ biên), Nguyễn Đình Khuê, Nguyễn Thúy Vân, Đào Thái Lai |  | 19 x 26,5 | 20,000 | 
